"t","tested","positive"
1664,10099,5935
1665,10040,5938
1666,9978,5959
1667,10011,5913
1668,9947,5851
1669,9916,5947
1670,10221,6118
1671,9896,6002
1672,9925,6115
1673,10061,6189
1674,9965,6197
1675,10078,6293
1676,9929,6360
1677,10129,6424
1678,9903,6432
1679,10014,6591
1680,9942,6591
1681,10106,6620
1682,9937,6646
1683,10042,6821
1684,9980,6822
1685,10157,7014
1686,9987,6904
1687,9807,6813
1688,10119,7175
1689,10034,7209
1690,9952,7194
1691,9937,7159
1692,10028,7367
1693,9839,7382
1694,9980,7415
1695,10045,7519
1696,9967,7593
1697,10182,7648
1698,10008,7558
1699,10020,7726
1700,10094,7798
1701,9969,7816
1702,9898,7779
1703,9908,7862
1704,9965,7864
1705,10011,7977
1706,10083,8073
1707,10022,8028
1708,10129,8114
1709,9860,7989
1710,9985,8069
1711,10092,8064
1712,10144,8156
1713,9967,8143
1714,9988,8126
1715,9810,8028
1716,9878,8029
1717,10171,8373
1718,9843,8091
1719,10014,8270
1720,10151,8334
1721,9972,8282
1722,10097,8368
1723,10194,8386
1724,10039,8288
1725,9861,8145
1726,10010,8282
1727,9952,8329
1728,10116,8473
1729,9982,8381
1730,9966,8376
1731,10040,8448
1732,9999,8524
1733,10052,8546
1734,10121,8659
1735,10236,8834
1736,9966,8594
1737,9932,8649
1738,9972,8714
1739,9870,8695
1740,9918,8762
1741,10043,8921
1742,10130,8996
1743,9795,8722
1744,9812,8826
1745,9779,8859
1746,9997,9005
1747,10025,9102
1748,10111,9259
1749,9970,9147
1750,10143,9277
1751,10146,9334
1752,10026,9270
1753,10202,9389
1754,9946,9142
1755,10000,9276
1756,9996,9304
1757,9875,9153
1758,9996,9284
1759,9894,9162
1760,10043,9310
1761,9956,9286
1762,10081,9441
1763,9936,9290
1764,10019,9394
1765,9954,9349
1766,10081,9509
1767,9970,9362
1768,10048,9438
1769,9869,9264
1770,10086,9480
1771,10010,9445
1772,9873,9278
1773,10049,9467
1774,10176,9606
1775,10013,9436
1776,10042,9483
1777,9919,9386
1778,10007,9458
1779,10060,9511
1780,10101,9585
1781,9902,9370
1782,9940,9393
1783,10033,9486
1784,10059,9530
1785,9872,9357
1786,10133,9658
1787,9899,9404
1788,9918,9409
1789,9918,9446
1790,10004,9499
1791,10133,9681
1792,9969,9525
1793,9999,9565
1794,9812,9382
1795,10004,9577
1796,10028,9584
1797,9988,9546
1798,9986,9569
1799,10021,9622
1800,9811,9399
